n_estimators,max_samples,max_features,bootstrap,Val_AUROC,Val_AUPR
200,auto,0.7,False,0.4992996200700739,0.1556174570736957
200,256,0.7,False,0.4992996200700739,0.1556174570736957
100,auto,0.7,False,0.49873940497864544,0.15556918690132887
100,256,0.7,False,0.49873940497864544,0.15556918690132887
100,256,0.7,True,0.4971482273496577,0.15502743272624436
100,auto,0.7,True,0.4971482273496577,0.15502743272624436
300,auto,0.7,False,0.49775587601315363,0.15489540756400136
300,256,0.7,False,0.49775587601315363,0.15489540756400136
200,auto,0.7,True,0.4979876785486967,0.15489451004673205
200,256,0.7,True,0.4979876785486967,0.15489451004673205
100,512,1.0,True,0.49322070707804244,0.154795419384327
100,512,0.7,True,0.4975047993172026,0.15453213057733808
200,512,0.7,True,0.4962916891289805,0.15447308700695475
200,128,0.7,False,0.49576448616335705,0.15447128461721496
300,512,0.7,True,0.4951266959936915,0.15441473370484962
200,128,0.7,True,0.49578239336203384,0.1544075915201819
300,256,0.7,True,0.4970237996580887,0.15433785074998657
300,auto,0.7,True,0.4970237996580887,0.15433785074998657
100,128,0.7,False,0.4956856466455186,0.15428095082759585
100,128,0.7,True,0.49571585649977484,0.15426420940474267
300,512,0.7,False,0.4953942787525449,0.15421394452957538
100,auto,0.5,False,0.4972542694059441,0.1541716466777659
100,256,0.5,False,0.4972542694059441,0.1541716466777659
200,512,0.7,False,0.49536629021110157,0.1541527113778337
300,512,1.0,True,0.49392951090963616,0.1540527336886594
300,512,1.0,False,0.49341922409543437,0.15398848113298377
200,512,1.0,True,0.4936466523534382,0.1539218656556849
200,256,0.5,False,0.49779339911267095,0.1538721368950005
200,auto,0.5,False,0.49779339911267095,0.1538721368950005
200,512,1.0,False,0.4927710108425696,0.15386977335651808
200,512,0.5,True,0.4962276811459241,0.15386368700331235
300,128,0.7,False,0.4946604936953162,0.153849059359899
100,auto,0.5,True,0.4966191789856973,0.15378929127922158
100,256,0.5,True,0.4966191789856973,0.15378929127922158
100,128,1.0,True,0.4939888028747205,0.15378549035673691
300,128,0.7,True,0.4947627766068422,0.15375377866921947
200,512,0.5,False,0.4945736232773078,0.15373057187249783
200,128,1.0,True,0.4948746624245287,0.15371222955074632
100,256,1.0,False,0.4941831164847895,0.1536856531009762
100,auto,1.0,False,0.4941831164847895,0.1536856531009762
100,128,1.0,False,0.49404358386609243,0.15366832744381395
100,512,0.7,False,0.4943813942838786,0.15361197301535062
200,128,1.0,False,0.4943648540469329,0.15359720921396877
300,128,1.0,True,0.49503240980829216,0.15351645542863873
300,128,1.0,False,0.4947882362690829,0.15350659668418737
300,512,0.5,False,0.4932638688947004,0.1534243578094711
200,256,0.5,True,0.49700069800483393,0.15332178255915552
200,auto,0.5,True,0.49700069800483393,0.15332178255915552
100,512,0.5,True,0.4967867001458377,0.15323514962728557
300,512,0.5,True,0.4944734249824217,0.1532339418821556
100,auto,1.0,True,0.4940610809762499,0.15320105979072457
100,256,1.0,True,0.4940610809762499,0.15320105979072457
300,256,1.0,False,0.4941164429263575,0.1531787532705961
300,auto,1.0,False,0.4941164429263575,0.1531787532705961
100,512,0.5,False,0.4952724482882649,0.15313326886509276
300,auto,1.0,True,0.49403428852632125,0.15310602756460134
300,256,1.0,True,0.49403428852632125,0.15310602756460134
200,256,1.0,False,0.4950214057663572,0.15302678377393816
200,auto,1.0,False,0.4950214057663572,0.15302678377393816
300,auto,0.5,False,0.4952556688330162,0.15286061455177652
300,256,0.5,False,0.4952556688330162,0.15286061455177652
200,auto,1.0,True,0.4952204012203551,0.15284862892116852
200,256,1.0,True,0.4952204012203551,0.15284862892116852
100,512,1.0,False,0.4911355094794524,0.15275430468282758
300,auto,0.5,True,0.4947181453063233,0.15260873765204297
300,256,0.5,True,0.4947181453063233,0.15260873765204297
200,128,0.5,False,0.49551928740284956,0.15221254574283186
300,128,0.5,True,0.4937611695724571,0.1521530029405371
300,128,0.5,False,0.49388587065637235,0.15214659949453344
200,128,0.5,True,0.49499782567649653,0.15207539005369264
100,128,0.5,False,0.49566196403352814,0.15179337606608967
100,128,0.5,True,0.4954782102028315,0.15172914002291404
